exp	val_loss	steps	params_M	training_sec	status	description
0	4.146494	169	14.2	120.4	keep	baseline
1	4.369560	145	18.9	120.1	discard	N_LAYER: 6 -> 8
2	4.144100	169	14.2	120.5	keep	WEIGHT_DECAY: 0.1 -> 0.0
3	4.052930	181	14.2	120.0	keep	N_HEAD: 6 -> 3
4	4.178158	166	14.2	120.5	discard	N_HEAD: 3 -> 6; WEIGHT_DECAY: 0.0 -> 0.05
5	3.984979	177	14.2	120.2	keep	LEARNING_RATE: 0.0003 -> 0.001
6	3.562148	259	3.5	120.4	keep	N_HEAD: 3 -> 6; N_EMBD: 384 -> 192
7	3.912537	173	3.5	120.4	discard	WEIGHT_DECAY: 0.0 -> 0.05; WARMUP_STEPS: 50 -> 20
8	3.749706	299	3.5	120.3	discard	BATCH_SIZE: 8 -> 4
9	5.135020	72	3.5	120.8	discard	GRAD_ACCUM_STEPS: 1 -> 2
10	3.935567	149	3.5	120.4	discard	LEARNING_RATE: 0.001 -> 0.002
11	4.282736	123	3.5	123.2	discard	BETAS: (0.9, 0.95) -> (0.9, 0.999); N_HEAD: 6 -> 2
12	4.192588	138	3.5	120.5	discard	BETAS: (0.9, 0.95) -> (0.9, 0.999); N_HEAD: 6 -> 8
13	5.429049	78	1.6	120.5	discard	GRAD_ACCUM_STEPS: 1 -> 4; N_EMBD: 192 -> 128; N_HEAD: 6 -> 4
14	3.370565	966	3.5	120.0	keep	BATCH_SIZE: 8 -> 2
15	3.332715	1123	3.5	120.0	keep	N_HEAD: 6 -> 2
16	3.387156	924	6.3	120.1	discard	N_EMBD: 192 -> 256
17	3.243183	1252	1.8	120.1	keep	N_LAYER: 6 -> 3
18	4.935095	72	1.8	120.3	discard	BATCH_SIZE: 2 -> 32
19	3.488590	756	1.2	120.1	discard	N_LAYER: 3 -> 2
20	4.154571	109	1.8	121.1	discard	BATCH_SIZE: 2 -> 16
21	3.494156	952	1.0	120.0	discard	N_LAYER: 3 -> 4; N_EMBD: 192 -> 128
22	4.289922	432	12.6	120.2	discard	DROPOUT: 0.1 -> 0.2; N_EMBD: 192 -> 512
23	3.695751	212	1.8	120.3	discard	GRAD_ACCUM_STEPS: 1 -> 4; WEIGHT_DECAY: 0.0 -> 0.01
24	3.429965	778	1.8	120.1	discard	DROPOUT: 0.1 -> 0.0
25	3.549403	775	3.0	120.1	discard	N_LAYER: 3 -> 5; LEARNING_RATE: 0.001 -> 0.003
26	3.490010	838	1.8	120.0	discard	WARMUP_STEPS: 50 -> 20
27	4.222190	415	12.6	120.0	discard	N_EMBD: 192 -> 512
28	3.602099	237	1.8	120.2	discard	GRAD_ACCUM_STEPS: 1 -> 4
29	3.587002	237	1.8	120.4	discard	BATCH_SIZE: 2 -> 8
30	3.437956	913	1.8	120.1	discard	WEIGHT_DECAY: 0.0 -> 0.2
31	3.579133	248	1.8	120.1	discard	BATCH_SIZE: 2 -> 8; WEIGHT_DECAY: 0.0 -> 0.1
32	4.394503	799	3.5	120.1	discard	N_LAYER: 3 -> 6; LEARNING_RATE: 0.001 -> 0.0001
33	3.494782	1032	0.8	120.0	discard	N_EMBD: 192 -> 128
34	3.548823	266	1.8	120.0	discard	GRAD_ACCUM_STEPS: 1 -> 4; WEIGHT_DECAY: 0.0 -> 0.2
35	3.485826	774	1.8	120.1	discard	BETAS: (0.9, 0.95) -> (0.9, 0.99); LEARNING_RATE: 0.001 -> 0.0006
36	3.538649	750	1.8	120.1	discard	WARMUP_STEPS: 50 -> 20
37	4.254231	411	12.6	120.2	discard	N_EMBD: 192 -> 512
38	3.548489	803	1.8	120.1	discard	LEARNING_RATE: 0.001 -> 0.0006
39	3.461450	823	1.8	120.1	discard	WEIGHT_DECAY: 0.0 -> 0.01
40	3.649070	594	4.7	120.0	discard	N_LAYER: 3 -> 8
41	3.537950	685	1.8	120.0	discard	N_HEAD: 2 -> 6
42	3.494885	442	1.8	120.1	discard	BATCH_SIZE: 2 -> 4
43	3.312691	1187	0.8	120.1	discard	N_EMBD: 192 -> 128; BETAS: (0.9, 0.95) -> (0.9, 0.99)
44	3.452069	739	3.1	120.1	discard	N_EMBD: 192 -> 256
45	4.213483	435	12.6	120.2	discard	N_EMBD: 192 -> 512
46	3.332575	1031	1.8	120.0	discard	WARMUP_STEPS: 50 -> 10
47	3.404147	928	2.4	120.0	discard	N_LAYER: 3 -> 4
48	3.484666	818	4.7	120.1	discard	N_LAYER: 3 -> 8
49	3.296886	1084	1.8	120.0	discard	WARMUP_STEPS: 50 -> 10
50	3.416447	983	1.8	120.0	discard	WARMUP_STEPS: 50 -> 20
51	3.340385	1030	1.8	120.0	discard	LEARNING_RATE: 0.001 -> 0.002
52	3.492969	979	1.8	120.1	discard	LEARNING_RATE: 0.001 -> 0.003
53	3.387756	921	1.8	120.1	discard	N_HEAD: 2 -> 6
54	3.939283	130	1.8	120.2	discard	BATCH_SIZE: 2 -> 16
55	3.823575	474	12.6	120.0	discard	N_EMBD: 192 -> 512; LEARNING_RATE: 0.001 -> 0.0003
56	3.445326	773	3.1	120.1	discard	N_EMBD: 192 -> 256
57	3.536781	713	3.0	120.2	discard	N_LAYER: 3 -> 5
58	3.514740	750	1.8	120.1	discard	DROPOUT: 0.1 -> 0.15
59	3.498285	790	1.8	120.1	discard	WEIGHT_DECAY: 0.0 -> 0.01
60	3.379281	1199	1.8	120.1	discard	DROPOUT: 0.1 -> 0.2
61	3.230230	1321	1.2	120.0	keep	N_LAYER: 3 -> 2
62	3.263294	1269	1.2	120.1	discard	WEIGHT_DECAY: 0.0 -> 0.1
63	3.474407	833	1.2	120.1	discard	WEIGHT_DECAY: 0.0 -> 0.2
